Dataset,Run_ID,Variant,Model,Number_Users,Number_Items,Number_Interactions,Density,Sparsity,Avg_User_Degree,Avg_Item_Degree,rmse_mean,Precision@10_mean,Recall@10_mean,NDCG@10_mean,MRR@10_mean,Coverage@10_mean,CatalogItems_mean,UniqueRecItems@10_mean,ItemCV@10_mean,UserCoverage@10_mean,FixedEval_mean,FixedEvalUsers_mean,FixedEvalCandidates_mean,EEL@10_mean,RecGini_mean,RecEntropy_mean,1-Gini@10_mean,ARP@10_mean,APLT@10_mean,LTShare@10_mean,EPC@10_mean,EFD@10_mean,EPC_rel@10_mean,EFD_rel@10_mean,ILS_mean,Diversity_mean
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p10,BPR,125057,12015,8133515,0.00541310548989744,0.994586894510103,65.0384624611177,676.946733250104,,0.0210361419825125,0.210361419825125,0.107329012330099,0.0763731290135315,0.610845070422535,7100,4337,3.56270664610683,0.210361419825125,1,55697,55752697,0.00148204473495723,0.900573327968952,9.80967189228143,0.0994266720310484,10068.3457771514,0.00147801692445062,0.0564114763811336,0.911568163148337,10.0334403478177,0.0212533961250931,0.231951984777937,0.243672302507195,0.756327697492804
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p10,ItemKNN,125057,12015,8133515,0.00541310548989744,0.994586894510103,65.0384624611177,676.946733250104,,0.0216708260768084,0.216708260768084,0.111273434085746,0.0795740687067868,0.437605633802817,7100,3107,4.41906497150307,0.216708260768084,1,55697,55752697,0.00156648658548854,0.941522229811339,9.08335994009845,0.0584777701886608,11746.0194229492,0.000489534510376318,0.0133508088406916,0.897886257879553,9.61697708289057,0.0219013983100114,0.235709829207992,0.26953306852544,0.730466931474561
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p10,LightGCN,125057,12015,8133515,0.00541310548989744,0.994586894510103,65.0384624611177,676.946733250104,,0.0205585579115572,0.205585579115572,0.104004911087594,0.073542542828815,0.485845070422535,7100,3449.5,3.72117231742135,0.205585579115572,1,55697,55752697,0.00153626768396574,0.912783787631608,9.64463993350229,0.087216212368392,10567.8308858646,0.0010773263459594,0.0327046340018313,0.905958350831162,9.86550118998035,0.0204369266325905,0.220666706994854,0.251575611432944,0.748424388567056
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p10,MultiVAE,125057,12015,8133515,0.00541310548989744,0.994586894510103,65.0384624611177,676.946733250104,,0.0167675099197443,0.167675099197443,0.0855882446045591,0.0609445672745761,0.177535211267606,7100,1260.5,4.8987076335783,0.167675099197443,1,55697,55752697,0.00166541915875657,0.959455007944128,8.60866312281855,0.0405449920558718,12872.5912068873,0.000189501467844019,0.00372820798247661,0.886566151486734,9.41147823999023,0.0164778075942098,0.174440338658745,0.304343661964907,0.695656338035093
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p10,NeuMF,125057,12015,8133515,0.00541310548989744,0.994586894510103,65.0384624611177,676.946733250104,,0.0225604610661256,0.225604610661256,0.114073153798752,0.0805776991778931,0.741549295774648,7100,5265,2.68683694417197,0.225604610661256,1,55697,55752697,0.00142233347180255,0.846794658573908,10.4728356405532,0.153205341426092,7934.66714634541,0.00253393007263281,0.0998105822575722,0.932651798413422,10.5520202199809,0.0230852081688454,0.258211369679423,0.207258465968897,0.792741534031103
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p100,BPR,136674,13680,9977451,0.00533639048636415,0.994663609513636,73.0018218534615,729.345833333333,,0.021192344291434,0.21192344291434,0.10779984557819,0.0765347247336852,0.61387323943662,7100,4358.5,3.43169205651582,0.21192344291434,1,55697,55752697,0.00148105060642371,0.895530120341768,9.89167102078865,0.104469879658232,12632.3109691725,0.00174456590368811,0.0600499129217014,0.897342820171236,10.0666758700193,0.0209058458770372,0.233225775898877,0.205009259930227,0.794990740069774
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p100,ItemKNN,136674,13680,9977451,0.00533639048636415,0.994663609513636,73.0018218534615,729.345833333333,,0.0221232741440293,0.221232741440293,0.112724705724607,0.0801834315546903,0.446901408450704,7100,3173,4.17453873633108,0.221232741440293,1,55697,55752697,0.00155922961056954,0.935914656439622,9.22427095596843,0.0640853435603775,14507.9848070812,0.000686265283144083,0.016894985367255,0.883345309346054,9.67089273298564,0.0217719487940586,0.239787589005249,0.224347933586372,0.775652066413628
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p100,LightGCN,136674,13680,9977451,0.00533639048636415,0.994663609513636,73.0018218534615,729.345833333333,,0.0206833402158105,0.206833402158105,0.104993385169998,0.0744227197555025,0.531760563380282,7100,3775.5,3.56403526671897,0.206833402158105,1,55697,55752697,0.00151918182828791,0.906727581858268,9.74692870856368,0.0932724181417324,13272.1325197048,0.00126692293845037,0.0385550388710343,0.890488621241879,9.89929927367446,0.020203270690573,0.22331855680139,0.211929821429837,0.788070178570163
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p100,MultiVAE,136674,13680,9977451,0.00533639048636415,0.994663609513636,73.0018218534615,729.345833333333,,0.0174892723126919,0.174892723126919,0.0893784415285882,0.0636842705614363,0.248239436619718,7100,1762.5,4.51211399274242,0.174892723126919,1,55697,55752697,0.00163155865417597,0.949964266667194,8.90616204429772,0.0500357333328059,15757.9799504462,0.000307831930353665,0.00821049607698799,0.871532011071875,9.49076526638696,0.0167837744023231,0.182629878663376,0.25032471331383,0.74967528668617
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p100,NeuMF,136674,13680,9977451,0.00533639048636415,0.994663609513636,73.0018218534615,729.345833333333,,0.0223468050343825,0.223468050343825,0.11229652829131,0.0789043060653291,0.768239436619718,7100,5454.5,2.74114334863041,0.223468050343825,1,55697,55752697,0.0014065280717472,0.844393594162772,10.477539449264,0.155606405837228,10437.5014013322,0.0028807614245195,0.107975294899187,0.917688186263242,10.5337046876757,0.0222613669225456,0.253068759754557,0.180930670077098,0.819069329922902
